index,Raw,Count,Lemmantize,Porter,Lancaster
0,HZI,212,HZI,hzi,hzi
1,site,129,site,site,sit
2,design,79,design,design,design
3,time,78,time,time,tim
4,project,74,project,project,project
5,schedule,68,schedule,schedul,schedule
6,contract,62,contract,contract,contract
7,works,56,work,work,work
8,Contract,49,Contract,contract,contract
9,contractor,47,contractor,contractor,contract
10,process,46,process,process,process
11,steel,45,steel,steel,steel
12,erection,44,erection,erect,erect
13,structure,43,structure,structur,structure
14,Civil,43,Civil,civil,civil
15,contractors,42,contractor,contractor,contract
16,requirements,36,requirement,requir,requir
17,Site,36,Site,site,sit
18,engineering,35,engineering,engin,engin
19,documents,35,document,document,docu
21,HSE,33,HSE,hse,hse
20,FMFEL,33,FMFEL,fmfel,fmfel
22,work,32,work,work,work
23,Design,32,Design,design,design
24,construction,32,construction,construct,construct
25,NAECI,31,NAECI,naeci,naec
26,civil,31,civil,civil,civil
27,issues,31,issue,issu,issu
28,scope,31,scope,scope,scop
29,stage,30,stage,stage,stag
30,equipment,30,equipment,equip,equip
31,review,27,review,review,review
32,concept,26,concept,concept,conceiv
33,team,26,team,team,team
34,level,26,level,level,level
35,late,26,late,late,lat
36,building,25,building,build,build
37,system,24,system,system,system
40,provide,23,provide,provid,provid
41,organisation,23,organisation,organis,org
38,information,23,information,inform,inform
39,place,23,place,place,plac
43,management,22,management,manag,man
42,client,22,client,client,cli
44,costs,21,cost,cost,cost
45,drawings,21,drawing,draw,draw
46,delay,20,delay,delay,delay
47,documentation,20,documentation,document,docu
48,control,20,control,control,control
49,change,20,change,chang,chang
50,etc,20,etc,etc,etc
51,boiler,20,boiler,boiler,boil
56,based,19,based,base,bas
59,cost,19,cost,cost,cost
57,installation,19,installation,instal,instal
58,plant,19,plant,plant,plant
55,enough,19,enough,enough,enough
53,procedures,19,procedure,procedur,proc
52,Project,19,Project,project,project
54,amount,19,amount,amount,amount
64,tender,18,tender,tender,tend
67,items,18,item,item,item
65,programme,18,programme,programm,program
66,detail,18,detail,detail,detail
63,changes,18,change,chang,chang
62,Contractors,18,Contractors,contractor,contract
61,turbine,18,turbine,turbin,turbin
60,provided,18,provided,provid,provid
68,document,17,document,document,docu
69,approach,17,approach,approach,approach
70,defined,17,defined,defin,defin
71,Contractor,17,Contractor,contractor,contract
72,crane,17,crane,crane,cran
76,several,16,several,sever,sev
79,contractual,16,contractual,contractu,contract
78,In,16,In,in,in
77,quality,16,quality,qualiti,qual
75,piping,16,piping,pipe,pip
74,Construction,16,Construction,construct,construct
73,access,16,access,access,access
87,possible,15,possible,possibl,poss
93,delays,15,delay,delay,delay
92,phase,15,phase,phase,phas
91,Quality,15,Quality,qualiti,qual
90,must,15,must,must,must
89,agreed,15,agreed,agre,agree
88,insulation,15,insulation,insul,ins
86,our,15,our,our,our
85,TPM,15,TPM,tpm,tpm
84,Sisk,15,Sisk,sisk,sisk
83,different,15,different,differ,diff
82,do,15,do,do,do
81,detailed,15,detailed,detail,detail
80,data,15,data,data,dat
100,many,14,many,mani,many
104,Schedule,14,Schedule,schedul,schedule
103,scaffolding,14,scaffolding,scaffold,scaffold
102,planning,14,planning,plan,plan
101,over,14,over,over,ov
97,Client,14,Client,client,cli
99,both,14,both,both,both
96,early,14,early,earli,ear
95,manage,14,manage,manag,man
94,additional,14,additional,addit,addit
98,parties,14,party,parti,party
122,procedure,13,procedure,procedur,proc
118,there,13,there,there,ther
119,customer,13,customer,custom,custom
120,Not,13,Not,not,not
121,needed,13,needed,need,nee
125,planned,13,planned,plan,plan
123,very,13,very,veri,very
124,understanding,13,understanding,understand,understand
126,There,13,There,there,ther
127,experience,13,experience,experi,expery
117,house,13,house,hous,hous
116,RAMS,13,RAMS,ram,ram
113,standard,13,standard,standard,standard
115,allow,13,allow,allow,allow
109,check,13,check,check,check
114,already,13,already,alreadi,already
107,get,13,get,get,get
108,ensure,13,ensure,ensur,ens
106,according,13,according,accord,accord
110,lot,13,lot,lot,lot
111,staff,13,staff,staff,staff
112,when,13,when,when,when
105,cranes,13,crane,crane,cran
137,number,12,number,number,numb
144,expected,12,expected,expect,expect
143,poor,12,poor,poor,poor
142,other,12,other,other,oth
141,A,12,A,a,a
140,meetings,12,meeting,meet,meet
139,working,12,working,work,work
138,execution,12,execution,execut,execut
133,support,12,support,support,support
136,Turbine,12,Turbine,turbin,turbin
135,limited,12,limited,limit,limit
134,interface,12,interface,interfac,interfac
132,well,12,well,well,wel
131,impact,12,impact,impact,impact
130,communication,12,communication,commun,commun
129,under,12,under,under,und
128,Boiler,12,Boiler,boiler,boil
162,how,11,how,how,how
159,internal,11,internal,intern,intern
160,It,11,It,it,it
161,Improve,11,Improve,improv,improv
156,Engineering,11,Engineering,engin,engin
163,way,11,way,way,way
164,built,11,built,built,built
165,need,11,need,need,nee
166,responsibility,11,responsibility,respons,respons
158,lifting,11,lifting,lift,lift
157,so,11,so,so,so
155,subcontractors,11,subcontractor,subcontractor,subcontract
150,who,11,who,who,who
145,Erection,11,Erection,erect,erect
146,PC,11,PC,pc,pc
147,services,11,service,servic,serv
149,piles,11,pile,pile,pil
148,ash,11,ash,ash,ash
151,progress,11,progress,progress,progress
152,Zurich,11,Zurich,zurich,zurich
153,any,11,any,ani,any
154,dates,11,date,date,dat
188,involvement,10,involvement,involv,involv
182,effective,10,effective,effect,effect
183,3D,10,3D,3d,3d
185,because,10,because,becaus,becaus
186,hopper,10,hopper,hopper,hop
187,comments,10,comment,comment,com
193,developed,10,developed,develop,develop
189,model,10,model,model,model
190,SISK,10,SISK,sisk,sisk
191,these,10,these,these,thes
192,DD,10,DD,dd,dd
180,still,10,still,still,stil
181,good,10,good,good,good
184,delivery,10,delivery,deliveri,delivery
179,bunker,10,bunker,bunker,bunk
172,changed,10,changed,chang,chang
178,sub,10,sub,sub,sub
167,provisions,10,provision,provis,provid
168,less,10,le,less,less
170,Use,10,Use,use,us
171,levels,10,level,level,level
169,always,10,always,alway,alway
173,supervisor,10,supervisor,supervisor,superv
174,define,10,define,defin,defin
175,within,10,within,within,within
176,Also,10,Also,also,also
177,fully,10,fully,fulli,ful
223,efficiency,9,efficiency,effici,efficy
215,definition,9,definition,definit,definit
216,improved,9,improved,improv,improv
217,taken,9,taken,taken,tak
218,areas,9,area,area,area
219,minor,9,minor,minor,min
220,power,9,power,power,pow
221,given,9,given,given,giv
222,plan,9,plan,plan,plan
229,claims,9,claim,claim,claim
224,full,9,full,full,ful
225,parts,9,part,part,part
226,managed,9,managed,manag,man
227,Commercial,9,Commercial,commerci,commerc
228,extractor,9,extractor,extractor,extract
230,back,9,back,back,back
231,lead,9,lead,lead,lead
213,cover,9,cover,cover,cov
214,commercial,9,commercial,commerci,commerc
206,systems,9,system,system,system
212,UK,9,UK,uk,uk
202,various,9,various,variou,vary
211,manpower,9,manpower,manpow,manpow
194,sequence,9,sequence,sequenc,sequ
195,solution,9,solution,solut,solv
196,Substation,9,Substation,substat,subst
197,if,9,if,if,if
199,start,9,start,start,start
200,resources,9,resource,resourc,resourc
201,PIRS,9,PIRS,pir,pir
198,experienced,9,experienced,experienc,expery
203,projects,9,project,project,project
205,supervisors,9,supervisor,supervisor,superv
207,point,9,point,point,point
208,prior,9,prior,prior,pri
209,handling,9,handling,handl,handl
204,floor,9,floor,floor,flo
210,Process,9,Process,process,process
263,necessary,8,necessary,necessari,necess
267,office,8,office,offic,off
266,order,8,order,order,ord
265,reporting,8,reporting,report,report
264,people,8,people,peopl,peopl
261,comment,8,comment,comment,com
262,loads,8,load,load,load
260,ready,8,ready,readi,ready
259,gaps,8,gap,gap,gap
269,significant,8,significant,signific,sign
268,month,8,month,month,mon
278,until,8,until,until,until
270,More,8,More,more,mor
271,leading,8,leading,lead,lead
272,responsibilities,8,responsibility,respons,respons
273,missing,8,missing,miss,miss
274,caused,8,caused,caus,caus
275,then,8,then,then,then
276,risks,8,risk,risk,risk
277,high,8,high,high,high
279,installed,8,installed,instal,instal
280,FGT,8,FGT,fgt,fgt
257,end,8,end,end,end
258,CEMS,8,CEMS,cem,cem
235,first,8,first,first,first
256,Standards,8,Standards,standard,standard
243,involved,8,involved,involv,involv
255,Steel,8,Steel,steel,steel
232,discharge,8,discharge,discharg,discharg
233,company,8,company,compani,company
234,operation,8,operation,oper,op
237,complete,8,complete,complet,complet
238,about,8,about,about,about
239,earlier,8,earlier,earlier,ear
240,ground,8,ground,ground,ground
241,engineered,8,engineered,engin,engin
242,sufficient,8,sufficient,suffici,sufficy
236,Customer,8,Customer,custom,custom
244,Works,8,Works,work,work
250,difficult,8,difficult,difficult,difficult
254,update,8,update,updat,upd
245,input,8,input,input,input
253,far,8,far,far,far
252,where,8,where,where,wher
251,Scaffolding,8,Scaffolding,scaffold,scaffold
249,approval,8,approval,approv,approv
248,Insulation,8,Insulation,insul,ins
247,dedicated,8,dedicated,dedic,ded
246,above,8,above,abov,abov
332,minimum,7,minimum,minimum,minim
331,Interface,7,Interface,interfac,interfac
325,type,7,type,type,typ
330,NEC,7,NEC,nec,nec
329,discussions,7,discussion,discuss,discuss
328,designed,7,designed,design,design
327,members,7,member,member,memb
320,interfaces,7,interface,interfac,interfac
324,base,7,base,base,bas
323,HV,7,HV,hv,hv
322,Scheduling,7,Scheduling,schedul,scheduling
321,close,7,close,close,clos
319,related,7,related,relat,rel
318,overall,7,overall,overal,overal
