index,Word,Freq
0,HZI,212
1,site,167
2,design,125
3,contract,125
4,contractor,124
5,works,113
6,schedule,108
7,project,103
8,time,93
9,Civil,86
10,documents,79
11,engineering,68
12,management,68
13,process,59
14,erection,59
15,change,58
16,steel,53
17,structure,52
18,requirements,52
19,costs,49
20,construction,49
21,delay,49
22,issues,48
23,provide,48
24,concept,44
25,review,43
26,planning,41
27,detail,40
28,Improve,39
29,system,38
30,procedures,38
31,building,37
32,scope,37
33,client,37
34,level,36
35,team,36
36,crane,35
37,stage,35
38,defined,35
39,scaffolding,35
40,installation,35
41,FMFEL,33
42,equipment,33
43,HSE,33
44,needed,33
45,boiler,32
46,quality,31
47,NAECI,31
48,turbine,30
49,interface,30
50,standard,29
51,responsibility,29
52,approval,29
53,check,29
54,control,28
55,place,28
56,organisation,28
57,drawings,28
58,late,27
59,based,26
60,plant,26
61,There,26
62,allow,26
63,information,25
64,Sisk,25
65,access,25
66,piping,25
67,different,23
68,programme,23
69,insulation,23
70,agreed,22
71,expected,22
72,operation,22
73,contractual,22
74,amount,22
75,sub,22
76,complete,22
77,effective,22
78,understanding,21
79,accepted,21
80,customer,21
81,get,21
82,several,21
83,Use,21
84,included,21
85,involvement,21
86,dates,21
87,impact,21
88,meetings,21
89,items,21
90,lifting,20
91,tender,20
92,other,20
93,developed,20
94,reasonable,20
95,delivery,20
96,comments,20
97,data,20
98,etc,20
99,support,20
100,lead,20
101,enough,20
102,supervisor,20
103,limited,20
104,additional,19
105,both,19
106,parties,19
107,execution,19
108,approach,19
109,competency,19
110,internal,19
111,update,19
112,subcontractors,19
113,discussions,19
114,ash,18
115,specific,18
116,parts,18
117,communication,18
118,over,18
119,risks,18
120,Commercial,18
121,TPM,17
122,do,17
123,cable,17
124,caused,17
125,lot,17
126,according,17
127,inspections,17
128,poor,16
129,possible,16
130,It,16
131,services,16
132,remove,16
133,reporting,16
134,our,16
135,resources,16
136,Coordinator,16
137,In,16
138,must,16
139,phase,16
140,very,16
141,experience,16
142,progress,15
143,if,15
144,ensure,15
145,produce,15
146,take,15
147,staff,15
148,many,15
149,bunker,15
150,provisions,15
151,model,15
152,handling,14
153,increase,14
154,number,14
155,resulting,14
156,office,14
157,solution,14
158,early,14
159,piles,14
160,hopper,14
161,Conditions,14
162,cover,14
163,sufficient,14
164,house,14
165,way,14
166,sequence,14
167,suppliers,13
168,loads,13
169,reduce,13
170,Not,13
171,high,13
172,followed,13
173,Action,13
174,close,13
175,when,13
176,implemented,13
177,already,13
178,how,13
179,RAMS,13
180,order,12
181,well,12
182,experienced,12
183,side,12
184,company,12
185,any,12
186,general,12
187,these,12
188,under,12
189,established,12
190,foundation,12
191,input,12
192,claims,12
193,considered,12
194,Temporary,12
195,point,12
196,instructions,12
197,A,12
198,Procurement,12
199,ducts,11
200,feed,11
201,Department,11
202,who,11
203,make,11
204,supervision,11
205,month,11
206,Zurich,11
207,manufacturing,11
208,PC,11
209,full,11
210,location,11
211,floor,11
212,always,11
213,built,11
214,various,11
215,units,11
216,so,11
217,first,11
218,fire,11
219,start,11
220,performance,10
221,within,10
222,benefit,10
223,given,10
224,definition,10
225,still,10
226,good,10
227,related,10
228,Also,10
229,fully,10
230,because,10
231,minor,10
232,Substation,10
233,identified,10
234,waste,10
235,DD,10
236,Technical,10
237,platforms,10
238,training,10
239,MEC,10
240,less,10
241,Safety,10
242,deal,10
243,gaps,10
244,areas,10
245,3D,10
246,effort,10
247,Transport,10
248,earlier,10
249,electrical,10
